让	w,
我	w
若	w.
是	s
说	s.
事	s,
的	d
到	d.
对	d,
有	f
也	f.
要	f,
用	y
又	y.
与	y,
过	g
给	g.
更	g,
他	t,
她	t.
它	t
这	z
着	z.
真	z,
去	q
却	q.
全	q,
和	h.
好	h,
还	h
将	j.
就	j
即	j,
可	k
看	k.
快	k,
了	l
来	l,
两	l.
不	b
把	b.
被	b,
你	n
能	n.
呢	n,
没	m
吗	m.
每	m,
想	x
向	x.
像	x,
次	c.
才	c,
从	c
在	r
最	r.
再	r,
都	p
当	p.
但	p,
一	yi
人	rs
个	gx
上	sp
们	mw
大	dq
道	dv
子	zk
中	zo
那	nq
为	wx
出	cu
么	me
时	sk
地	dm
得	dd
下	xq
以	yk
里	lk
然	rf
自	zm
之	zi
天	tr
而	rd
小	xg
会	hx
后	h/
心	xw
生	sy
家	jq
起	qk
多	do
只	zk/
于	yj
面	mc
点	df
样	yp
所	sl
头	tl
如	rj
作	z/
手	sl;
华	ha
方	fp
些	xe
无	wj
现	xc
年	nf
国	gl
知	ziu
文	ws
成	ch
前	qf
老	lg
己	jk
发	fq
身	sw
话	hq
法	fa
见	jc
笑	xv
开	kq
意	ym
学	xd
已	yk/
本	bs
很	hs
经	jy
分	fw
儿	rd;
太	tq
同	tl/
声	syv
行	xh
十	skv
三	sr
回	hd
情	qh
实	sk;
种	zl
动	d/
间	jr
定	db
明	mh
力	lm
气	qm
其	qkv
眼	yf
走	zlv
进	jz
女	nj
二	rx
几	jk;
长	c;
因	yw
此	ck
问	wz
数	sn
正	zb
理	lke
神	ss
先	xr
高	gt
外	wq
者	zd
打	da
应	yb
便	bc
算	sc
信	xz
等	dh
日	rm
相	xp
听	ty
主	zj
白	ba
并	bb
系	xm
觉	jd
口	kl
光	gp
西	xi
别	bd
边	br
使	sku
机	ji
少	sg
怎	zs
候	h/u
处	cn
表	bg
住	zn
体	tk
门	ms
四	sm
关	gr
由	yl
第	dm;
名	mh;
月	yx
果	gl/
比	bk
象	xp;
做	z/u
结	jda
性	xb
感	gf
新	xwo
位	wxu
色	sx
重	z/;
常	c;/
张	zp
风	fy
接	je
何	hdu
军	jw
死	skvu
东	dov
战	zc
脸	lf
字	zm;
水	sd
平	ph
件	jcu
许	xj
通	to
书	su
部	bn
计	jm
王	w;
放	fpo
吧	bq
直	zkv
连	lfv
完	wf
量	lp
难	nfa
统	tla
叫	jv
变	bc;
似	smu
工	go
空	ko
清	qy
亲	qw
入	rn
五	wjv
公	go;
立	lm;
息	xi;
内	nx
据	jn
且	qd
写	xd;
语	yjo
原	yfv
山	sr/
望	wp
加	jqa
教	jve
轻	qye
程	chu
度	dn
思	si
特	tx
花	hqv
吃	ci
则	zdi
或	h/v
命	mb
合	hd;
马	ma
今	jw;
路	ln
提	tke
化	hqu
海	hao
解	jdu
目	mn
必	bm
带	dqv
民	ms/
士	smv
爱	rq
非	fe
图	tj
虽	se
该	gq
至	zmv
世	smvi
言	yf;
美	md
安	rr
活	hl
龙	ll
式	smva
物	wn
总	zl;
任	rz
形	xhe
远	yfve
受	s/
跟	gw
乎	hu
金	jw;o
义	ym;
论	lz
强	q;
代	dqu
微	we
满	mf
题	tk/
坐	z/;o
钱	qfu
车	ce
半	bc;u
飞	fe/
反	ff
指	zke
啊	rqi
报	bv
服	fj
找	zg
类	lx
黑	he
界	jx
转	zce
李	lkv
制	zmu
传	cf
记	jmo
师	sii
往	w;u
怕	pq
刚	gpi
夫	fu
各	gx;
容	rl
及	jk/
管	gf;
步	bn/
红	hla
城	che
音	yw;
火	hl;
干	grv
利	lmu
句	jn;
万	wc
姐	jdau
九	jl
魔	ml
模	mle
条	tg
场	c;e
流	llo
识	sko
青	qyv
切	qe
百	bav
云	ys
早	zg/
求	ql
北	bdi
八	bq;
办	bc/
近	jz;
设	sxo
房	f;
随	sda
集	jk;i
喜	xk
失	si;
务	wn;
离	lk;
孩	haa
告	gv
兵	by
术	snv
电	dc
决	jdo
影	yh
拿	na
认	rzo
交	jt
极	jke
谁	sdo
器	qm/
站	zco
竟	jb
请	qho
林	ls
始	ska
友	ylv
灵	lh
落	l/
精	jyo
够	g/
刻	kx
单	dr
越	yxv
拉	lq
深	swo
存	cs
哪	nai
父	fn
队	dx
七	qi
示	smve
冷	lho
元	yfve
根	gwe
惊	jyoo
哥	ge
杀	sq
功	goe
斯	sie
紧	js
消	xt
收	so
兴	xy
静	jbe
保	bgu
般	bru
整	zh
周	zo;
母	mj
石	skvu
怪	gqo
送	s/;
星	xy/
击	jiv
阵	zz
爷	yd
型	xhv
苦	kj
基	jivi
男	nf/
族	zjo
忙	m;
未	wxv
弟	dm;u
六	l/;
复	fn;
衣	yi;
确	qx
敢	gfa
片	pc
奇	qkvu
故	gn
究	jo
南	nfv
答	da;
取	qj
妈	mq
谈	tf
客	kx;
底	dk
备	bx
绝	jdaa
期	qke
网	w;/
足	zj/
英	yy
血	xx
线	xca
慢	mco
千	qr
准	zso
格	gd
易	ym/
包	bt
夜	yx;
热	rxv
树	sne
显	xf
构	g/e
照	zv
员	yf/
突	tu
终	zoa
业	yx/
块	kqe
运	yz
令	lb
估	gu
暗	rc
双	spa
众	z/;o
古	gj
引	ysa
态	tqv
尽	jz/
布	bnv
修	xo
留	ll;
武	wjve
晚	wfi
创	cp
断	dco
调	tgo
官	gr;
德	ddu
响	x;
错	c/
建	jc/
达	dav
曾	ch;
嘴	zdia
低	di
欢	hr
诗	sio
尔	rd;a
罗	ll/
标	bte
改	ga
需	xu
领	lhu
乐	lx;
破	p/
玉	yn
产	cf;
阳	y;
级	jka
序	xn
组	zja
急	jk;a
黄	h;
技	jme
院	yc
脚	jg
章	zp;
愿	ycv
木	mnv
忽	hu;
段	dcu
帮	bp
号	hv
除	cj
久	jl;
视	smo
伤	spu
念	nc
细	xma
阿	rqa
造	zv;
团	tf/
冲	co
值	zku
具	jn/
节	jdv
陈	csa
跑	pg
乱	lc
词	cko
简	jf
京	jy;
势	smvi
