去	q
却	q/
全	qz
让	wz
我	w
若	w/
在	r
最	r/
再	rz
他	tz
她	t/
它	t
用	y
又	y/
与	yz
都	p
当	p/
但	pz
是	s
说	s/
事	sz
的	d
到	d/
对	dz
有	f
也	f/
要	fz
过	g
给	g/
更	gz
和	h/
好	hz
还	h
将	j/
就	j
即	jz
可	k
看	k/
快	kz
了	l
来	lz
两	l/
想	c
向	c/
像	cz
次	v/
才	vz
从	v
这	b
着	b/
真	bz
不	n
把	n/
被	nz
你	m
能	m/
呢	mz
没	,
吗	,/
每	,z
远	gi
金	gk
使	g,
知	hi
已	hk
声	h,
儿	wi
几	wk
实	w,
同	wb
十	wg
第	wt
其	mu
啊	nu
做	lw
果	vb
候	q.
理	,r
直	wl
何	w;
名	,u
东	yi
难	yk
位	y,
望	yt
常	y;
四	th
清	tn
刚	ku
内	lr
原	dh
李	yx
连	ht
场	,w
变	rp
什	ra
男	tq
该	,t
今	ys
海	vd
加	ww
解	po
立	ty
红	pm
花	tr
总	lo
城	ca
孩	ym
工	ti
始	f;
新	qq
兵	wa
离	du
非	yq
似	wo
认	wq
失	wr
火	n;
绝	yd
元	me
结	m,
半	rt
武	gn
奇	rf
绝	yy
尔	dy
件	bc
精	mn
石	li
急	yp
刘	g;
众	qb
势	ga
元	wp
装	pe
士	pn
五	se
惊	,i
竟	ly
姐	lt
剑	qn
往	lu
流	gp
坐	qv
斯	mt
音	r;
指	my
利	j;
合	jo
步	bq
越	j.
谁	qr
深	tx
象	ry
容	va
钱	vy
提	ya
言	wu
击	v,
站	m.
管	fw
灵	ka
题	hy
衣	vt
周	ye
静	no
伤	ja
百	gu
拿	c.
办	nv
星	kb
化	bw
功	qo
般	bv
业	,o
代	w.
弟	hn
终	fo
近	ch
青	pl
司	pt
字	pj
晚	m;
民	ml
交	sx
或	,v
员	bu
根	cl
哈	rv
夜	vr
制	gg
友	ko
阿	mb
息	nl
保	vv
形	dl
南	,b
决	qm
请	kt
各	gq
兴	mk
语	pd
及	ny
极	pc
识	hp
慢	mo
雪	pu
领	sa
尽	pb
答	tt
视	df
罗	qg
敢	pp
留	jv
克	pw
官	s;
断	st
未	lj
计	la
达	yn
则	h;
八	t,
久	pi
德	vc
楚	nj
雨	tm
睛	rr
确	gh
北	,n
陈	hr
市	vx
喝	rg
族	ni
章	by
力	pa
黑	ba
张	py
经	ta
眼	na
服	yw
现	ft
只	sf
目	ho
必	mr
由	p,
风	mi
西	rq
脸	le
月	qt
见	kr
数	n.
量	qx
一	ki
人	rh
个	gc
上	sv
大	dq
们	,y
道	db
那	mq
么	,e
地	d,
子	fk
下	cq
出	vu
时	sk
中	bo
中	b.
然	rs
里	lk
为	wd
为	wc
自	f,
得	de
得	dd
会	hc
天	tw
心	cy
后	h.
以	kk
小	cg
起	qk
之	bi
手	sl
而	md
生	sp
身	sy
头	tl
样	kv
多	do
己	jk
家	jq
面	,x
开	yr
如	rj
无	wj
很	hh
点	ds
前	qs
发	fq
情	q;
老	lg
些	ce
话	hq
意	k,
于	kj
回	hd
笑	cb
所	rl
成	v;
方	fr
年	ms
女	mj
气	q,
长	vf
长	bf
动	d.
间	jw
间	jx
国	gl
走	fl
正	bp
问	wn
打	da
明	,;
法	fa
行	hf
行	c;
三	rw
定	dp
此	vk
进	jn
种	bl
本	nh
分	fy
学	cd
高	gt
感	gs
怎	fh
神	sh
听	tp
边	nw
作	f.
吧	nq
口	yl
觉	jd
因	ky
白	nf
军	jy
外	wv
门	,h
光	gr
主	bj
住	bm
二	mc
公	go
相	cr
相	cv
等	d;
别	nd
色	rc
死	rk
部	nm
太	tv
日	r,
少	sg
少	sb
战	bx
重	vl
重	b..
王	wf
比	nk
水	sd
体	tk
叫	jb
应	kp
便	nx
便	ps
放	fv
马	,a
轻	qp
美	,d
关	gw
机	ji
接	je
先	cw
文	wh
处	vj
处	vm
并	np
完	ws
飞	fe
师	si
者	bd
安	mw
跟	gy
信	cn
山	sw
爱	mv
龙	ll
空	yo
空	y.
带	dv
找	bg
入	rm
吃	vi
平	p;
思	ri
林	lh
受	s.
亲	qy
命	,p
强	qf
任	rn
路	lm
车	ve
活	hl
特	tc
电	dx
世	s,
性	cp
表	ng
许	cj
转	bs
转	bxe
算	rx
队	dc
反	fs
满	,s
物	wm
虽	re
云	kh
万	wx
至	b,
干	gwi
干	gx
通	to
哥	ge
魔	,l
乎	hu
早	fg
怕	pq
突	tu
紧	jh
拉	lq
杀	sq
记	j,
且	qd
倒	dg
倒	dbx
书	su
度	dm
微	we
教	jt
教	jbe
喜	ck
影	k;
冷	l;
告	gb
落	l.
怪	gv
传	vs
传	bxx
随	rd
双	sr
哪	ma
房	ff
刻	yc
妈	,q
系	c,
血	cd.
血	cc
条	tg
界	jc
整	b;
欢	hw
帮	nr
切	qe
切	qc
忙	,f
暗	mx
夫	fu
父	fm
冲	vo
酒	jl
片	px
阵	bn
报	nb
阳	kf
令	lp
错	v.
备	nc
苦	yj
收	so
底	dk
准	bh
华	ha
华	hq.
千	qw
消	ct
乐	lc
乐	kc
够	g.
跑	pg
显	cs
嘴	fd
句	jm
求	ql
论	ln
害	hv
单	dw
脚	jg
脑	mg
响	cf
刀	dt
玉	km
得	ddx
沉	vh
格	gd
停	t;
朝	bt
朝	vg
江	jr
团	ts
母	,j
亮	lv
客	yc;
照	bb
乱	lx
易	k,o
足	fj
依	kix
黄	hfi
修	co
破	p.
台	tf
球	qle
呀	kq
院	kx
送	r.
包	nt
义	k,;
诉	rma
攻	goe
丝	riu
围	wdo
玩	wse
待	dr
待	dvx
复	fm.
况	yv
楼	lle
丽	l,
痛	t.
梦	,pi
呼	huo
摇	kg
期	qke
英	kpi
低	di
帝	d,;
兄	coo
背	ne
背	nco
持	vke
爷	kd
皇	hf.
七	qi
六	l.;
穿	vw
杨	kfe
政	bpe
运	kn
居	ju
叶	kco
热	rci
校	jbeo
校	cbe
谢	cca
曾	v;;
古	gj
细	c,u
产	vs;
睡	sc
希	ci
速	rmi
室	s,;
旁	pf
另	lpo
怀	hfa
露	lmi
异	k,u
写	cd;
鬼	gd.
娘	mf
取	qj
式	s,i
除	vju
级	jku
考	yg
建	jxu
愿	kxi
招	bte
