去	q
却	q/
全	qz
让	wz
我	w
若	w/
在	r
最	r/
再	rz
他	tz
她	t/
它	t
用	y
又	y/
与	yz
都	p
当	p/
但	pz
是	s
说	s/
事	sz
的	d
到	d/
对	dz
有	f
也	f/
要	fz
过	g
给	g/
更	gz
和	h/
好	hz
还	h
将	j/
就	j
即	jz
可	k
看	k/
快	kz
了	l
来	lz
两	l/
想	c
向	c/
像	cz
次	v/
才	vz
从	v
这	b
着	b/
真	bz
不	n
把	n/
被	nz
你	m
能	m/
呢	mz
没	,
吗	,/
每	,z
远	gi
金	gk
使	g,
知	hi
已	hk
声	h,
儿	wi
几	wk
实	w,
同	wb
十	wg
第	wt
其	mu
啊	nu
做	lw
果	vb
候	q.
理	,r
直	wl
何	w;
名	,u
东	yi
难	yk
位	y,
望	yt
常	y;
四	th
清	tn
刚	ku
内	lr
原	dh
李	yx
连	ht
场	,w
变	rp
什	ra
男	tq
该	,t
今	ys
海	vd
加	ww
解	po
立	ty
红	pm
花	tr
总	lo
城	ca
孩	ym
工	ti
始	f;
新	qq
兵	wa
离	du
非	yq
似	wo
认	wq
失	wr
火	n;
绝	yd
元	me
结	m,
半	rt
武	gn
奇	rf
绝	yy
尔	dy
件	bc
精	mn
石	li
急	yp
刘	g;
众	qb
势	ga
元	wp
装	pe
士	pn
五	se
惊	,i
竟	ly
姐	lt
剑	qn
往	lu
流	gp
坐	qv
斯	mt
音	r;
指	my
利	j;
合	jo
步	bq
越	j.
谁	qr
深	tx
象	ry
容	va
钱	vy
提	ya
言	wu
击	v,
站	m.
管	fw
灵	ka
题	hy
衣	vt
周	ye
静	no
伤	ja
百	gu
拿	c.
办	nv
星	kb
化	bw
功	qo
般	bv
业	,o
代	w.
弟	hn
终	fo
近	ch
青	pl
司	pt
字	pj
晚	m;
民	ml
交	sx
或	,v
员	bu
根	cl
哈	rv
夜	vr
制	gg
友	ko
阿	mb
息	nl
保	vv
形	dl
南	,b
决	qm
请	kt
各	gq
兴	mk
语	pd
及	ny
极	pc
识	hp
慢	mo
雪	pu
领	sa
尽	pb
答	tt
视	df
罗	qg
敢	pp
留	jv
克	pw
官	s;
断	st
未	lj
计	la
达	yn
则	h;
八	t,
久	pi
德	vc
楚	nj
雨	tm
睛	rr
确	gh
北	,n
陈	hr
市	vx
喝	rg
族	ni
章	by
力	pa
黑	ba
张	py
经	ta
眼	na
服	yw
现	ft
只	sf
目	ho
必	mr
由	p,
风	mi
西	rq
脸	le
月	qt
见	kr
数	n.
量	qx
