去	q
却	q[
全	q]
让	w]
我	w
若	w[
在	z
最	z[
再	z]
他	t]
她	t[
它	t
用	y
又	y[
与	y]
都	p
当	p[
但	p]
是	s
说	s[
事	s]
时	r
使	r[
事	r]
的	d
到	d[
对	d]
有	f
也	f[
要	f]
过	g
给	g[
更	g]
和	h[
好	h]
还	h
将	j[
就	j
即	j]
可	k
看	k[
快	k]
了	l
来	l]
两	l[
想	x
向	x[
像	x]
次	c[
才	c]
从	c
这	v
着	v[
真	v]
不	b
把	b[
被	b]
你	n
能	n[
呢	n]
没	m
吗	m[
每	m]
一	yi
人	rh
个	gx
上	sc
大	d/
们	my
道	dv
那	n/
么	me
地	dm
子	zk
下	x/
出	cu
中	vo
中	vq
然	rs
里	lk
为	wd
为	wx
自	zm
得	de
得	dd
会	hx
天	tw
心	xy
后	hq
以	yk
小	xg
起	qk
之	vi
手	sl
而	nd
只	vii
只	vk
生	s;
身	sy
头	tl
样	yc
多	do
己	jk
家	j/
面	mz
知	viu
开	kr
如	rj
无	wj
现	xz
很	hh
点	ds
前	qs
发	f/
经	j;
情	qp
老	lg
些	xe
话	h/
已	yka
声	s;e
意	ym
于	yj
回	hd
笑	xv
所	rl
眼	ys
成	cp
方	fr
年	ns
见	jz
女	nj
力	lm
气	qm
长	cf
长	vf
动	dq
间	jw
间	jzo
国	gl
走	zl
正	v;
问	wb
打	da
明	mp
儿	ndu
法	fa
几	jku
行	hf
行	xp
三	rw
定	d;
此	ck
进	jb
种	vl
实	sk
同	tli
本	bh
分	fy
十	ske
学	xd
高	gt
第	dmu
感	gs
怎	zh
神	sh
听	t;
边	bw
作	zq
其	qke
吧	b/
口	kl
觉	jd
啊	n/i
因	yy
白	bf
军	jy
做	zqu
外	wc
门	mh
光	gr
风	f;
主	vj
住	vn
果	gli
二	nx
候	hqu
公	go
相	xr
相	xc
等	dp
别	bd
色	rx
死	rk
张	vr
部	bn
太	tc
日	rm
少	sg
少	sv
战	vz
理	lke
直	vke
重	cl
重	vqu
王	wf
脸	ls
比	bk
何	hdu
水	sd
名	mpu
体	tk
东	doe
叫	jv
西	xi
应	y;
便	bz
便	ps
放	fc
马	ma
难	nsa
轻	q;
美	md
位	wxu
关	gw
机	ji
接	je
先	xw
文	wh
处	cj
处	cn
并	b;
望	wco
常	cfi
完	ws
四	rmi
飞	fe
师	si
者	vd
安	nw
清	q;o
刚	gri
跟	gy
月	yx
信	xb
山	sw
爱	nc
内	nxi
龙	ll
空	ko
空	kq
带	dc
找	vg
原	yse
入	rn
李	lkei
连	lse
吃	ci
场	cfe
平	pp
思	ri
林	lh
变	bzo
什	shu
由	yl
受	sq
亲	qy
命	m;
目	mn
强	qf
男	nsi
任	rb
该	gro
路	ln
车	ce
今	jyu
海	hfo
加	j/a
远	ysee
活	hl
特	tx
解	jdu
电	dz
世	sm
性	x;
表	bg
许	xj
立	lmo
黑	he
金	jyuo
红	hla
花	h/e
转	vs
转	vze
总	zlo
算	rz
城	cpe
队	dx
孩	hfa
反	fs
工	goe
始	ska
满	ms
新	xyo
兵	b;u
物	wn
离	lko
非	fei
虽	re
云	yh
似	rmu
万	wz
至	vm
干	gwe
干	gz
通	to
认	rbo
失	siu
火	hlo
哥	ge
士	sme
五	wje
惊	j;o
魔	ml
竟	j;oe
姐	jda
乎	hu
剑	jzu
往	wfu
量	lf
量	lc
早	zg
结	jdaa
怕	p/
流	llo
突	tu
坐	zquo
斯	rie
音	yyo
紧	jh
指	vkei
拉	l/
杀	s/
半	bzou
记	jm
且	qd
利	lmu
合	hduo
倒	dg
倒	dvu
书	su
度	dn
微	we
步	bni
教	jt
教	jve
喜	xk
越	yxe
影	yp
谁	sdo
冷	lp
深	syo
告	gv
落	lq
象	xcu
容	rlo
怪	gc
传	cs
传	vzu
钱	qsu
提	tke
言	yso
随	rd
双	sr
服	fj
击	jie
武	wjee
哪	na
数	sj
数	sn
站	vzo
奇	qkeu
房	ff
管	gsu
灵	lpa
刻	kx
题	tki
衣	yio
周	vou
静	j;e
伤	sru
百	bfe
拿	nau
妈	m/
办	bza
星	x;i
化	h/u
功	goei
绝	jdaa
系	xm
般	bwu
必	bm
业	yxi
尔	ndua
件	jzui
血	xdu
血	xx
代	dcu
精	j;ou
弟	dmo
终	voa
近	jbu
条	tg
青	q;e
界	jx
司	ria
整	vp
欢	hw
字	zmo
晚	wsi
民	mha
帮	br
切	qe
切	qx
忙	mf
交	jto
或	hqe
暗	nz
夫	fu
员	ysi
根	gye
石	skeu
哈	h/i
夜	yxo
父	fn
制	vmu
友	yle
阿	n/a
息	xiu
冲	co
酒	jl
保	bgu
片	pz
形	xpe
阵	vb
南	nse
决	jdo
请	qpo
各	gxu
报	bv
兴	x;o
阳	yf
急	jkua
语	yjo
令	l;
错	cq
及	jka
刘	lloe
极	jke
识	sko
备	bx
慢	mzo
雪	xde
苦	kj
领	lpu
收	so
底	dk
尽	jba
准	vh
华	ha
华	h/ui
答	dau
众	vquo
千	qw
消	xt
视	smo
罗	lli
敢	gsa
留	llu
克	kxe
乐	lx
乐	yxu
够	gq
跑	pg
显	xs
嘴	zd
官	gwo
断	dzo
未	wxe
势	smei
句	jn
求	ql
计	jmo
论	lb
达	dae
则	zdi
害	hc
八	b/u
单	dw
久	jlu
脚	jg
德	ddu
元	ysee
脑	ng
楚	cje
雨	yje
睛	j;i
响	xf
刀	dt
确	qxe
玉	yn
得	dduu
沉	ch
北	bdi
格	gd
停	tp
陈	cha
市	smoe
朝	vt
朝	cg
喝	hei
族	zj
江	jr
团	ts
母	mj
章	vro
装	vroe
亮	lco
客	kxo
照	vv
乱	lz
易	ymi
足	zji
依	yiu
黄	hfe
修	xo
破	pq
台	tf
球	qle
呀	y/
院	yz
送	rq
包	bt
义	ymo
诉	rno
攻	goei
