的	的话	的确
了	了解	了不起
一	一个	一下
是	是不是	是因为
不	不是	不过
我	我们	我会
这	这个	这么
在	在家	在意
有	有些	有点
你	你们	你好
个	个人	个子
人	人家	人生
来	来到	来说
他	他们	他家
着	着急	着实
就	就是	就算
说	说道	说完
说	说道	说完
到	到底	到时候
么	么妹儿	
上	上面	上课
道	道歉	道理
看	看着	看到
也	也许	也好
那	那个	那么
子	子弹	子女
大	大家	大学
没	没有	没事
好	好像	好好
下	下来	下去
时	时候	时间
还	还是	还有
去	去世	去年
出	出来	出现
自	自己	自然
小	小子	小时
过	过来	过去
要	要是	要求
然	然后	然而
里	里面	里边
天	天空	天天
后	后面	后来
都	都市	都还没
想	想到	想要
会	会议室	会议
会	会议室	会议
可	可以	可是
能	能够	能力
起	起来	起身
己	己方	己任
心	心里	心中
以	以后	以为
为	为什么	为了
对	对于	对方
中	中国	中间
得	得到	得意
地	地方	地上
手	手机	手中
什	什么	什么样
开	开始	开口
她	她们	她家
头	头发	头上
家	家里	家伙
生	生活	生命
身	身体	身上
只	只是	只有
样	样子	样貌
老	老师	老板
面	面前	面对
和	和尚	和谐
点	点头	点点头
多	多少	多年
啊	啊啊啊	啊呀
事	事情	事儿
现	现在	现实
知	知道	知识
很	很多	很快
话	话题	话语
而	而且	而是
眼	眼睛	眼前
走	走进	走出
之	之后	之前
回	回来	回到
些	些许	些小
前	前面	前世
学	学校	学生
发	发现	发生
打	打开	打算
吧	吧台	吧唧
给	给予	给出
给	给予	给出
经	经过	经常
笑	笑容	笑了笑
女	女孩	女人
把	把手	把头
间	间隔	间接
声	声音	声响
但	但是	但愿
情	情况	情绪
意	意思	意识
无	无奈	无法
被	被子	被窝
让	让开	让给
两	两个	两年
气	气息	气氛
真	真的	真是
年	年轻	年轻人
已	已经	已然
见	见到	见面
见	见到	见面
所	所以	所有
如	如果	如此
又	又称	又名
怎	怎么	怎么样
几	几个	几天
于	于是	于是乎
方	方向	方式
成	成为	成绩
问	问道	问题
力	力量	力气
当	当然	当时
觉	觉得	觉醒
明	明白	明天
张	张扬	张开
边	边上	边缘
李	李家	李子
林	林子	林家
用	用力	用来
感	感觉	感到
才	才能	才刚
从	从小	从来
听	听到	听见
长	长大	长发
长	长大	长发
口	口气	口袋
动	动作	动手
候	候车室	候选人
正	正在	正是
王	王子	王明
定	定格	定位
再	再次	再说
脸	脸上	脸色
白	白色	白天
次	次数	次日
进	进入	进来
直	直接	直到
高	高兴	高中
三	三个	三年
最	最后	最好
门	门口	门外
刚	刚才	刚刚
同	同学	同时
实	实在	实力
别	别人	别的
本	本来	本书
神	神秘	神色
儿	儿子	儿女
完	完全	完成
做	做出	做到
接	接着	接受
少	少年	少女
行	行李	行动
行	行李	行动
向	向着	向前
分	分钟	分别
吗	吗啡	吗啉
种	种种	种子
种	种种	种子
因	因为	因此
车	车子	车上
车	车子	车上
十	十分	十年
像	像是	像样
快	快速	快点
其	其实	其他
其	其实	其他
跟	跟着	跟前
等	等等	等待
吃	吃饭	吃惊
住	住院	住处
此	此时	此刻
却	却是	却说
果	果然	果断
男	男人	男子
呢	呢喃	呢子大衣
光	光芒	光头
色	色彩	色狼
色	色彩	色狼
外	外面	外号
放	放在	放心
哥	哥哥	哥们
叫	叫做	叫声
作	作为	作者
死	死亡	死去
便	便是	便宜
便	便是	便宜
机	机会	机械
将	将来	将近
二	二人	二楼
法	法术	法律
找	找到	找死
名	名字	名叫
东	东西	东方
体	体内	体质
全	全部	全身
太	太阳	太好了
应	应该	应聘
电	电话	电脑
带	带来	带上
风	风景	风格
师	师傅	师父
位	位置	位于
陈	陈家	陈老师
比	比较	比如
算	算是	算了
安	安静	安排
字	字数	字迹
孩	孩子	孩童
主	主人	主要
理	理解	理由
叶	叶子	叶家
叶	叶子	叶家
公	公司	公交车
先	先生	先是
飞	飞机	飞快
水	水平	水晶
今	今天	今年
拿	拿出	拿到
相	相信	相当
轻	轻轻	轻松
更	更加	更是
钱	钱包	钱财
黑	黑色	黑暗
美	美女	美丽
西	西装	西服
第	第一次	第一
重	重要	重新
重	重要	重新
思	思考	思想
并	并且	并非
龙	龙哥	龙阳
难	难道	难以
清	清楚	清晰
者	者阴山	者奈
离	离开	离去
变	变得	变成
世	世界	世间
刘	刘海	刘老师
路	路上	路边
关	关系	关于
始	始终	始祖
空	空间	空气
何	何时	何况
周	周围	周末
坐	坐在	坐下
妈	妈妈	妈呀
常	常常	常人
文	文化	文字
音	音乐	音响
哈	哈哈	哈哈哈
转	转身	转过
该	该死	该是
强	强大	强烈
强	强大	强烈
场	场景	场面
信	信息	信心
亲	亲自	亲人
早	早就	早上
处	处理	处于
数	数字	数学
任	任务	任何
校	校长	校园
校	校长	校园
马	马上	马路
入	入学	入侵
望	望去	望了望
许	许多	许久
国	国家	国内
表	表情	表现
姐	姐姐	姐妹
虽	虽然	虽说
满	满脸	满意
随	随着	随后
干	干嘛	干什么
竟	竟然	竟是
加	加上	加入
原	原来	原因
微	微微	微笑
突	突然	突破
月	月光	月亮
紧	紧张	紧紧
内	内心	内容
连	连忙	连续
万	万一	万物
万	万一	万物
哪	哪里	哪个
活	活动	活着
站	站住	站立
平	平时	平静
房	房间	房子
四	四个	四周
谁	谁知	谁家
云	云天	云海
爷	爷爷	爷爷奶奶
红	红色	红包
红	红色	红包
花	花钱	花痴
阳	阳光	阳台
新	新生	新书
书	书包	书友
静	静静的	静静地
目	目光	目标
解	解释	解决
解	解释	解决
远	远处	远远
通	通过	通知
