去	q
起	q[
前	q]
我	w
为	w[
无	w]
他	t
她	t[
天	t]
一	y
有	y[
也	y]
是	s
说	s[
上	s]
人	r
然	r[
而	r]
的	d
得	d[
地	d]
在	f
自	f[
发	f]
个	g
过	g[
更	g]
会	h[
好	h
还	h]
将	j[
就	j
间	j]
可	k
看	k[
空	k]
了	l
来	l]
里	l[
下	x
心	x[
小	x]
成	c[
出	c
从	c]
这	v
中	v[
只	v]
不	b
把	b[
被	b]
你	n
能	n[
那	n]
没	m
吗	m[
明	m]
到	p
大	p[
都	p]
着	ve
们	mw
道	db
么	me
子	fk
时	sk
要	yb
后	h/
以	yk
和	hd
对	dx
想	x;
之	vi
手	sl
生	st
使	sku
身	sw
头	tl
样	yp
事	sm
多	do
己	jk
家	jq
面	mc
知	viu
开	kq
如	rj
现	xc
很	hs
点	df
经	jt
情	qg
老	lh
些	xe
话	hq
已	yka
又	y/
声	stz
意	ym
于	yj
回	hd/
笑	xb
所	slu
但	dc
眼	yf
方	fp
年	nf
见	jc
当	dp
女	nj
真	vw
两	l;
力	lm
气	qm
用	y//
长	c;
长	v;
动	d/
国	gl
走	fl
让	rp
给	gd
正	vv
问	wz
打	da
儿	rk
法	fa
才	ca
几	jk/
行	h;
行	xg
三	sr
定	dv
此	ck
进	jz
再	fq
种	vl
实	sk;
同	tl/
最	fx
本	bs
向	xp
分	fw
十	skz
学	xd
高	gy
第	dm
感	gf
怎	fs
神	ss
听	tt
边	br
作	f/
其	qk
吧	bq
却	qx
口	kl
觉	jd
啊	rq
因	yw
白	ba
次	cm
军	jw
做	f/u
外	wq
门	ms
光	gp
风	ft
主	vj
住	vn
果	gl/
与	yjz
全	qf
二	rm
候	h/u
公	go
相	xpe
相	xpei
等	dg
别	bd
色	sx
死	skzu
张	vp
部	bn
太	tq
日	rm/
少	sh
少	sb
战	vc
理	lk
直	vk
重	cl
重	v/
王	w;
像	xpu
脸	lf
比	bk
快	kqo
何	hdu
水	sd
名	mg
体	tk
呢	ne
东	doz
叫	jb
西	xi
应	yt
应	yv
便	bc
便	pf
放	fpo
马	ma
难	nfa
轻	qt
美	md
位	wx
关	gr
机	ji
接	je
先	xr
文	ws
处	cj
处	cn
并	bv
望	wp
常	c;/
完	wf
四	sm/
飞	fe
师	si
者	vd
安	rr
清	qto
刚	gpi
跟	gw
月	yx
信	xz
山	sr/
爱	rq/
内	nx
龙	ll
带	dq
找	vh
原	yfz
入	rn
李	lkz
连	lfz
吃	ci
场	c;e
平	pg
思	si/
林	ls
变	bc;
什	ssu
由	yl
受	s/
亲	qw
命	mv
目	mn
强	q;
男	nf/
任	rz
该	gq
路	ln
车	ce
今	jw/
海	ha
加	jqa
远	yfze
活	hl
特	tx
解	jdu
电	dc/
世	smz
性	xv
表	bh
许	xj
它	tq;
立	lm;
黑	he
金	jw/o
红	hla
花	hqz
转	vf
转	vce
总	fl;
算	sc
城	cg
队	dxa
孩	haa
反	ff
工	goz
始	ska
满	mf
新	xw
兵	bt
物	wn
离	lk;
非	fei
虽	se
云	ys
似	smu
万	wc
至	vm
干	grz
干	gc
通	to
认	rzo
失	si/e
火	hl;
哥	ge
士	smzi
五	wj
惊	jto
魔	ml
竟	jv
姐	jda
乎	hu
剑	jcu
往	w;u
量	l;/
量	lp
早	fh
结	jdaa
着	vy
着	vh;
着	vl;
怕	pq
流	llo
突	tu
坐	f//
斯	sie
音	yw;
紧	js
指	vke
拉	lq
杀	sq
半	bc;u
记	jm
且	qd
利	lmu
合	hd/o
倒	dh
倒	dbu
书	su
度	dn
微	we
步	bn/
教	jy
教	jbe
喜	xk
越	yxz
影	yg
谁	sdo
冷	lg
深	swo
告	gb
落	l/
象	xp/
容	rl
怪	gqo
传	cf
传	vcu
钱	qfu
提	tke
言	yf;
随	sda
每	md/
双	sp
服	fj
击	jiz
武	wjz
哪	na
数	sj
数	sn
站	vco
奇	qkz
房	f;
管	gf/
灵	lga
刻	kx
题	tk/
衣	yi
周	vo
静	jve
伤	spu
百	baz
拿	na/
妈	mq
办	bca
星	xt
化	hqu
功	goe
绝	jdaa
系	xm
般	bru
必	bm
业	yx/
尔	rk/
件	jcui
血	xd/
血	xx
代	dqu
精	jtou
弟	dm;
终	voa
近	jz/
条	th
青	qtz
界	jx
司	sia
整	vg
欢	hr
字	fm
晚	wfi
民	msa
帮	bp
切	qe
切	qxe
即	jka
忙	m;
交	jy;
或	h/z
暗	rc
夫	fu
员	yf/
根	gwe
石	skzu
哈	hqi
夜	yx;
父	fn
制	vmu
友	ylz
阿	rqa
息	xi/
冲	co
酒	jl
保	bhu
片	pc
形	xge
阵	vz
南	nfz
决	jdo
请	qgo
各	gx
报	bb
兴	xt;
兴	xv;
阳	y;
急	jk/a
语	yjo
令	lv
错	c/
及	jkau
刘	lloe
极	jke
识	sko
备	bx
慢	mco
雪	xdz
苦	kj
若	r/
领	lgu
收	so
底	dk
尽	jza
准	vs
华	ha/
华	hq/
答	da/
众	v//
千	qr
要	yy
消	xy
视	smo
罗	ll/
敢	gfa
留	ll/a
克	kxz
乐	lx
乐	yx/a
够	g/
跑	ph
显	xf
嘴	fd
官	gr;
断	dco
未	wxz
势	smzi
句	jn
求	ql
计	jmo
论	lz
达	daz
则	fdi
害	hq;
八	bq/
单	dr
久	jl/
脚	jh
德	dd
元	yfze
脑	nh
楚	cjz
雨	yjzi
睛	jti
响	x;i
刀	dy
确	qxeu
玉	yn
沉	cs
北	bdi
格	gde
停	tg
陈	csa
市	sm;
朝	vye
朝	ch
喝	hei
族	fjo
江	jp
团	tf
母	mj
章	vp;
装	vp;e
亮	lp;
客	kx;
照	vb
乱	lc
易	ym/
足	fj/
依	yiu
黄	h;z
修	xo
破	p/
台	ta
球	qle
呀	yq
院	yc
送	s/;
包	by
义	ym;
诉	sno
攻	goei
丝	siaa
围	wd
玩	wfe
待	dquu
待	dquu
复	fn/
况	kp
楼	lle
丽	lmz
痛	t/
梦	mvz
呼	hui
摇	yh
期	qke
英	ytz
低	di
帝	dm;e
兄	xo/
背	be
背	bx/
持	cke
爷	yd
皇	h;/
七	qi
六	l/;
穿	cr
杨	y;e
政	vve
运	yz
居	ju
叶	yxi
热	rx
校	jbei
校	xbe
谢	xxo
曾	cg;
古	gj
细	xma
产	cf;
睡	sxi
希	xi/o
速	snz
室	sm;o
旁	p;
另	lv/
怀	hao
露	lnz
异	yma
写	xd;
鬼	gd/
娘	n;
取	qj
式	smza
除	cja
级	jkaa
考	kh
建	jca
愿	ycz
招	vyei
饭	fc
布	bnz
续	xn
程	cgu
首	sl;
观	gra
朋	pgu
务	wn/
掉	dbe
赶	gfz
忽	hu/
注	vno
术	snzi
甚	sz
差	cq
呵	heia
展	vfa
争	vt
品	ps
兰	lf;
宝	bh;
香	xp/e
斗	d/;
故	gn
雷	ld
念	nc
段	dcu
顿	dz
角	jh/
角	jd/
疑	yku
护	hn
闪	sf
木	mnz
需	xu
调	dbo
调	tho
类	lx;
妹	mx
爸	bq/o
线	xca
左	flz
游	ylo
派	pqo
谈	tfo
激	jio
冰	bto
敌	dku
跳	tb
支	viz
约	ye
巴	bqa
您	ns
顾	gne
肯	ks
醒	xgei
铁	td
抱	bbe
淡	dcoo
造	fb
伙	hlu
资	fi
群	qs
集	jk/i
联	lfe
商	sp;
号	hh
号	hb
节	jdz
讲	j;
掌	v;/
赵	vbz
密	mm
九	jl/a
病	bv;
卫	wxa
米	mk
威	wez
继	jma
渐	jco
统	tla
追	ve/
亚	yqz
简	jf
练	lca
基	jizi
选	xf/
推	te
改	ga
退	txa
味	wxi
份	fz
举	jj
示	smze
忍	rs
历	lmzu
器	qm/
恐	klz
引	ysa
试	smoa
皮	pk
习	xka
靠	kb
导	dha
存	csz
莫	m/
志	vmz
区	qu
汉	hc
右	y/z
严	yfzi
态	tqz
买	maa
幸	xvz
社	sxo
佛	flu
佛	fju
议	ymo
树	sne
止	vk/
块	kqe
守	sl;o
毛	mh
挥	hee
胡	hj
散	sfe
散	sce
板	bf
仅	jsu
隐	ysai
怒	nn
床	c;;
苏	suz
料	lb
股	gju
局	jja
班	bre
图	tj
岁	sx/
礼	lko
独	dj
初	cu
福	fjoa
顺	szu
狂	k;
默	m/i
巨	jnz
既	jmae
松	soe
证	vvo
烈	lxz
否	flzu
恶	rd
恶	rxz
恶	wnz
治	vmo
缓	hf
排	pa
费	fxa
拍	pqe
耳	rkz
医	yiz
寒	hf;
哭	ku
温	ww
府	fj;
担	dre
担	dce
称	cz
称	ct
称	cv
余	yj/
钟	vou
泪	lxo
烟	yr
仍	rg
具	jn/
忘	wp;
恩	rw
毕	bmz
警	jg
蓝	lfzi
宫	go;
吸	xii
陆	lna
究	jo
抓	vq
压	yqzu
沙	sqo
救	j/
呆	dq/
河	hdo
迷	mk;
枪	qp
组	fja
权	qfe
叹	tc
孙	swa
卷	jf;
查	caz
毫	hh;
春	cw
察	ca;
圣	sv
草	chz
较	jbea
胜	svu
遇	yn/
充	co;
史	sk/
堂	t;
防	f;a
据	jne
猛	mgu
骑	qka
土	tjz
卡	ka
助	vni
京	jt;
银	ysu
贵	gx/
永	yl;
质	vm/
屋	wu
须	xuu
副	fne
换	hce
刺	cme
属	sja
闻	ws;
境	jvei
禁	jwz
禁	jzz
阴	ywa
共	g/z
负	fn/a
弄	n/
翻	fr
虎	hj/
层	cga
喊	hfi
逃	th/
晓	xh
座	f/;
雅	ya
参	cra
射	sxu
婚	hw
险	xfa
君	jwa
划	hqe
坚	jr
价	jqu
柔	rla
超	cy
扬	y;ei
科	ke
按	rce
狠	hsu
野	ydi
秦	qsz
秘	mmu
熟	sl;e
熟	sj;
置	vm/a
仙	xru
模	mle
模	mje
伸	swu
波	bo
肉	r//
假	ja
假	jqui
齐	qk;
舞	wj/
脱	tou
广	g;
姑	gu
麻	ma;
投	tle
顶	dge
致	vme
责	fdz
景	jg/
营	ygz
维	wda
设	sxoa
坏	hqei
啦	lqi
秀	x/
败	bqi
眉	mda
州	vo;
药	ybz
承	cgai
案	rc;
狼	l;u
专	vr
偷	toui
画	hqzi
吴	wj/a
店	dc;
哦	r/i
弹	dca
弹	tfa
食	sk/o
欲	ynu
抬	tae
标	bye
秋	qo
厉	lmzu
良	l;;
际	jmai
状	vpo
烦	ffo
午	wj/e
摆	bae
戏	xmao
桌	vo/
船	cfu
短	dfu
村	cwe
某	mlz
摸	mo
付	fnu
演	yfo
规	gee
萧	xyz
封	fte
握	w/
田	tf/
唐	t;;
藏	c;z
震	vzz
混	hso
混	hz
虚	xu/
透	t//
纪	jmaa
凌	lgo
休	xou
嘛	mqi
梅	mde
紫	fk/
歌	geei
临	lsi
毒	djz
宗	fo
著	vnz
索	slz
印	yzu
寻	xs
湖	hjo
劲	jzao
职	vkei
技	jme
恨	hzo
婆	pl
杰	jdzi
羽	yja
咱	ffi
素	snze
凡	ff/
值	vku
飘	py
养	y;;
嘿	heia
普	pj
宁	ng
宁	nv
吓	xq
兽	s/;u
夏	xqz
读	djo
街	jeu
牛	nl
仿	f;u
胸	xoua
浪	lpo
富	fn;
尚	sp/
宇	yj;
骨	gj/
智	vm/e
纷	fwa
升	st/
叔	sui
善	sc;
弱	r/a
架	jqau
卖	mqz
袋	dq/i
网	w;/
朱	vu
骂	mq/
雄	xl
赛	sq;
略	lxi
杯	bee
施	sio
墙	q;e
环	hfe
罪	fx/
牙	yaz
窗	cp
柳	llei
厅	ttz
搞	gh
端	dro
洞	d/o
适	sm/e
拥	yo
释	smuo
洋	y;o
肩	jr;
魂	hse
闹	nb
蒙	mt
蒙	mgz
洗	xko
灯	dt
借	jxu
伯	bl
免	mf/
菜	cqz
验	yca
凤	fv
鱼	yj/a
徐	xju
型	xgz
娜	nq
娜	nla
暴	bb/
亡	w;;
讨	thoa
辈	bx/e
懂	dl
腿	tdu
灭	mxz
妙	mb
效	xbo
危	we/
优	you
盘	pf/
套	tbz
丁	dtz
趣	qn
妖	yya
束	snzi
杂	fa/
诗	sioa
迎	yg/
舍	sd/
旧	j/i
彩	cau
委	wd/
挂	gqe
笔	bk/
狗	glu
鲜	xrua
鲜	xfu
纸	vka
抗	kpe
探	tce
韩	hfei
尼	nk
控	k/
惜	xkoo
珠	vue
抽	coe
创	cpu
创	cpuo
归	gei
挺	tge
奋	fzz
陪	pd
硬	yve
避	bma
园	yf/a
托	toe
训	xzo
勇	yla
聊	lhe
种	v/u
奶	naa
庄	vp;e
奔	bw
奔	bz
镇	vzu
拳	qf;
采	ca/
研	yfe
配	px
介	jx/
尊	fw;
冒	mb/
虑	ln/
敬	jvei
丹	dr/
舒	suu
蛋	dcai
哼	ht
宋	s/;o
济	jmoo
妇	fna
箭	jc/
择	va
择	fde
犯	fcu
欣	xwu
甲	ja/
欧	ro
课	kxo
扑	pu
菲	fez
菲	fdzi
燕	yczi
曲	qu/
曲	qj/
躲	dlu
玄	xf;
幻	hca
茶	cazi
折	vde
折	sde
伊	yiui
傻	sa
姓	xva
源	yfoo
洛	l/o
遍	bc;a
臣	cszi
弃	qm;
犹	ylu
占	vr/
占	vc/
漂	pyo
漂	pho
漂	pb
挑	ty
挑	the
获	h/zi
绿	lnaa
峰	fti
俊	jzu
疯	ft;
